,sampleid,peak_ZT_author_declared,peak_ZT_tep_reevaluated,peak_ZT_smallT_tep_reevaluated,peak_ZT_smallT_author_declared,avg dZT on T of ZT,avg dZT on T of TEP,avg dZT on T of smallT,rms dZT on T of ZT,rms dZT on T of TEP,avg dZT/ZT on T of ZT,avg dZT/ZT on T of TEP,rms dZT/ZT on T of ZT,rms dZT/ZT on T of TEP
0,1,1.700949072941632,1.517582898123086,1.517582898123086,1.700949072941632,0.10376181284212652,0.09758541470866035,0.09839364132256259,0.11843996773276405,0.11214132562584851,0.1150361706526993,0.11473984421879939,0.11545251281445996,0.1151864073831091
1,2,2.209386885200819,2.3742530581415067,2.35518904064953,2.209386885200819,-0.030513633614221616,-0.032279612984903804,-0.030513633614221616,0.052641004336322746,0.05555281792716264,-0.015054963101158936,-0.01603251148245101,0.0286084288350674,0.02962774426845736
2,4,1.457454,1.453887232311876,1.4506101665938254,1.457454,0.014983912711996939,0.01490522567840145,0.014983912711996939,0.01675003682303354,0.016677766884077874,0.021060363980986298,0.02108361056278832,0.023420646603287826,0.02349020887918673
3,5,2.2869664285714286,2.306383024050004,2.303365097253118,2.2869664285714286,-0.006979610972984076,0.01513929977597591,-0.006979610972984076,0.015526155091478217,0.062084116964048246,-0.00363126563398762,0.07144237637440758,0.018534705242226404,0.22236529201325003
4,6,2.0892548211787427,2.139501015224067,2.139501015224067,2.0892548211787427,-0.0027721584432145764,-0.0027602032463683794,-0.0027721584432145764,0.015064875391360482,0.015012007152692464,-0.021142536627362117,-0.02110883016351625,0.03812315160533087,0.038013466567294006
5,7,1.511151498313253,1.464097922499613,1.464097922499613,1.5050767995180725,0.01111400455344293,0.01037711686290455,0.010863087327986687,0.026207324516926856,0.02589885231308469,-0.004628581223782761,-0.0071123940618830405,0.0404917332227683,0.04356296003210539
6,8,2.1018489173333337,2.0053597068652533,2.0053597068652533,2.033475854653674,-0.024754359863864355,-0.026964784807026,-0.026964784807026,0.0396496192543403,0.0393625630537072,-0.02047890436394296,-0.020167079692742774,0.03127016422079444,0.02825212239167822
7,9,1.2545807800904976,1.26190720997198,1.26190720997198,1.2545807800904976,0.007687483652086576,0.010186184357359658,0.007687483652086576,0.013612074817853124,0.017714003747546666,0.006767448362275497,0.00947776353935511,0.011879069837245274,0.01696762422446933
8,10,1.7494888155571071,1.727902972566642,1.727902972566642,1.7494888155571071,0.02505741479454458,0.02505741479454458,0.02505741479454458,0.030459478997537794,0.030459478997537794,0.02626041880018106,0.02626041880018106,0.02977787967016129,0.02977787967016129
9,11,1.3894386042225202,1.3324273944340477,1.3324273944340477,1.3894386042225202,0.029391917370926064,0.029236452934616564,0.029391917370926064,0.03569275755348472,0.03555723622315381,0.03883915191037745,0.03860036678903314,0.049757532313629685,0.04955849772069793
10,12,1.85714,1.8468809745672865,1.8468809745672865,1.85714,0.02193569047736943,0.021661595226120538,0.02193569047736943,0.025236855249549116,0.024968878694059216,0.018277672086549138,0.018252093540117524,0.022323330690015936,0.02220317248336034
11,13,0.994876033057851,1.07766877243387,1.07766877243387,0.994876033057851,-0.02193230296184365,-0.022969534002445724,-0.02193230296184365,0.03708105642526809,0.037874541661297514,-0.030797214523092913,-0.03149966402603246,0.04982327587354856,0.05000712251116527
12,14,1.0586979462696229,1.0553073953991694,1.0553073953991694,1.0586979462696229,0.012649811642235357,0.012748762628245449,0.012649811642235357,0.013489457332832735,0.013555066940002495,0.013300119829298523,0.013498969829881365,0.014360302125638744,0.014532770625438939
